sample_name,T_original,robustness_score,fails_first_at_condition,fails_first_at_severity
test/17July_2009_Friday_tagesschau-5106,66,40,tail_contam,50
test/05April_2011_Tuesday_heute-5120,66,0,head_trunc,10
test/27November_2011_Sunday_tagesschau-5138,102,50,none,none
test/27November_2011_Sunday_tagesschau-5149,113,40,head_trunc,50
test/27August_2010_Friday_tagesschau-5164,126,20,head_trunc,30
test/14September_2010_Tuesday_tagesschau-5220,188,50,none,none
test/14September_2010_Tuesday_tagesschau-5223,112,40,head_trunc,50
test/16May_2010_Sunday_tagesschau-5226,138,20,head_contam,30
test/08September_2010_Wednesday_tagesschau-5240,136,10,head_trunc,20
test/08September_2010_Wednesday_tagesschau-5246,119,30,tail_contam,40
test/20July_2010_Tuesday_heute-5254,43,0,tail_trunc,10
test/06September_2009_Sunday_tagesschau-5308,114,50,none,none
test/06September_2009_Sunday_tagesschau-5309,117,50,none,none
test/23August_2010_Monday_heute-5328,57,40,tail_trunc,50
test/23August_2010_Monday_heute-5329,98,50,none,none
test/08October_2009_Thursday_tagesschau-5345,82,50,none,none
test/08October_2009_Thursday_tagesschau-5352,55,50,none,none
test/08October_2009_Thursday_tagesschau-5353,57,40,head_trunc,50
test/08October_2009_Thursday_tagesschau-5357,73,40,head_contam,50
test/08October_2009_Thursday_tagesschau-5358,32,50,none,none
test/08October_2009_Thursday_tagesschau-5359,89,0,tail_trunc,10
test/01October_2012_Monday_tagesschau-5370,139,50,none,none
test/08July_2010_Thursday_tagesschau-5388,49,20,head_contam,30
test/08July_2010_Thursday_tagesschau-5389,89,0,head_contam,10
test/21November_2011_Monday_heute-5428,107,0,head_contam,10
test/21November_2011_Monday_heute-5437,26,50,none,none
test/05March_2011_Saturday_tagesschau-5442,73,40,head_trunc,50
test/05March_2011_Saturday_tagesschau-5443,103,10,head_trunc,20
test/05March_2011_Saturday_tagesschau-5447,127,30,head_trunc,40
test/08June_2010_Tuesday_tagesschau-5521,159,0,head_trunc,10
test/08June_2010_Tuesday_tagesschau-5524,153,40,tail_trunc,50
test/08June_2010_Tuesday_tagesschau-5529,69,50,none,none
test/08June_2010_Tuesday_tagesschau-5530,120,0,head_trunc,10
test/06October_2011_Thursday_heute-5534,98,0,tail_trunc,10
test/06October_2011_Thursday_heute-5535,51,40,head_contam,50
test/17May_2010_Monday_heute-5576,130,50,none,none
test/17May_2010_Monday_heute-5577,43,50,none,none
test/18November_2009_Wednesday_tagesschau-5578,111,50,none,none
test/07December_2010_Tuesday_heute-5633,123,20,tail_trunc,30
test/06January_2011_Thursday_tagesschau-5641,88,0,head_trunc,10
test/15May_2010_Saturday_tagesschau-5656,130,20,head_trunc,30
test/15May_2010_Saturday_tagesschau-5659,132,30,head_trunc,40
test/21November_2010_Sunday_tagesschau-5672,113,50,none,none
test/21November_2010_Sunday_tagesschau-5676,146,30,head_trunc,40
test/24November_2009_Tuesday_tagesschau-5678,190,50,none,none
test/24November_2009_Tuesday_tagesschau-5679,64,0,head_trunc,10
test/24November_2009_Tuesday_tagesschau-5680,40,50,none,none
test/24November_2009_Tuesday_tagesschau-5684,108,30,head_trunc,40
test/24November_2009_Tuesday_tagesschau-5685,49,0,head_trunc,10
test/24November_2009_Tuesday_tagesschau-5686,38,50,none,none
test/24November_2009_Tuesday_tagesschau-5688,89,50,none,none
test/24November_2009_Tuesday_tagesschau-5689,117,50,none,none
test/24November_2009_Tuesday_tagesschau-5690,90,30,tail_contam,40
test/24November_2009_Tuesday_tagesschau-5691,29,50,none,none
test/24November_2009_Tuesday_tagesschau-5692,44,0,head_trunc,10
test/30March_2010_Tuesday_tagesschau-5699,114,0,head_trunc,10
test/29August_2011_Monday_tagesschau-5710,143,20,head_trunc,30
test/30November_2009_Monday_tagesschau-5750,146,30,tail_trunc,40
test/30November_2009_Monday_tagesschau-5751,129,10,head_trunc,20
test/30November_2009_Monday_tagesschau-5752,112,0,head_trunc,10
test/30November_2009_Monday_tagesschau-5753,78,50,none,none
test/03October_2010_Sunday_tagesschau-5770,179,40,head_trunc,50
test/12December_2011_Monday_heute-5800,131,0,tail_trunc,10
test/12December_2011_Monday_heute-5804,72,50,none,none
test/12December_2011_Monday_heute-5805,67,40,tail_trunc,50
test/12December_2011_Monday_heute-5811,81,0,head_trunc,10
test/25March_2011_Friday_tagesschau-5828,198,50,none,none
test/09November_2010_Tuesday_heute-5840,41,50,none,none
test/28August_2009_Friday_tagesschau-5878,141,40,head_trunc,50
test/28August_2009_Friday_tagesschau-5879,48,10,head_trunc,20
test/28August_2009_Friday_tagesschau-5881,72,30,head_trunc,40
test/28August_2009_Friday_tagesschau-5882,46,30,tail_trunc,40
test/28August_2009_Friday_tagesschau-5883,85,50,none,none
test/28August_2009_Friday_tagesschau-5884,40,50,none,none
test/28August_2009_Friday_tagesschau-5886,108,20,head_trunc,30
test/09August_2010_Monday_heute-5890,110,10,tail_contam,20
test/09August_2010_Monday_heute-5891,64,0,head_contam,10
test/09August_2010_Monday_heute-5892,113,50,none,none
test/16December_2009_Wednesday_tagesschau-5907,126,30,tail_contam,40
test/16December_2009_Wednesday_tagesschau-5912,47,50,none,none
test/16December_2009_Wednesday_tagesschau-5913,78,0,tail_trunc,10
test/16December_2009_Wednesday_tagesschau-5914,46,50,none,none
test/04October_2010_Monday_heute-5953,113,10,head_trunc,20
test/09June_2010_Wednesday_tagesschau-5960,118,0,head_trunc,10
test/09June_2010_Wednesday_tagesschau-5961,89,10,head_trunc,20
test/11May_2010_Tuesday_heute-5990,170,20,tail_trunc,30
test/11May_2010_Tuesday_heute-5994,41,50,none,none
test/25August_2010_Wednesday_heute-6005,189,0,tail_trunc,10
test/25August_2010_Wednesday_heute-6006,35,0,head_contam,10
test/07April_2010_Wednesday_tagesschau-6024,101,30,tail_contam,40
test/24May_2011_Tuesday_heute-6062,37,50,none,none
test/24May_2011_Tuesday_heute-6067,135,0,tail_contam,10
test/24September_2009_Thursday_heute-6079,78,0,tail_contam,10
test/24September_2009_Thursday_heute-6080,29,40,tail_trunc,50
test/24September_2009_Thursday_heute-6081,82,50,none,none
test/24September_2009_Thursday_heute-6082,68,40,head_trunc,50
test/24September_2009_Thursday_heute-6083,98,20,head_trunc,30
test/24September_2009_Thursday_heute-6084,68,50,none,none
test/24September_2009_Thursday_heute-6090,40,30,tail_trunc,40
test/24September_2009_Thursday_heute-6091,37,50,none,none
test/18December_2010_Saturday_tagesschau-6118,113,50,none,none
test/18December_2010_Saturday_tagesschau-6125,62,50,none,none
test/18December_2010_Saturday_tagesschau-6126,117,50,none,none
test/07August_2009_Friday_tagesschau-6165,114,50,none,none
test/21April_2010_Wednesday_tagesschau-6235,94,50,none,none
test/26July_2010_Monday_tagesschau-6266,151,30,tail_trunc,40
test/26July_2010_Monday_tagesschau-6267,91,30,head_trunc,40
test/26July_2010_Monday_tagesschau-6268,75,0,head_trunc,10
test/16September_2010_Thursday_tagesschau-6278,158,30,head_trunc,40
test/17February_2011_Thursday_tagesschau-6310,105,30,head_trunc,40
test/24January_2013_Thursday_tagesschau-6322,132,10,head_trunc,20
test/24July_2010_Saturday_tagesschau-6343,152,30,head_trunc,40
test/06June_2010_Sunday_tagesschau-6363,180,40,tail_trunc,50
test/10January_2011_Monday_tagesschau-6402,51,0,head_contam,10
test/10January_2011_Monday_tagesschau-6403,75,0,tail_trunc,10
test/06May_2011_Friday_tagesschau-6434,79,30,head_trunc,40
test/06May_2011_Friday_tagesschau-6435,131,50,none,none
test/06May_2011_Friday_tagesschau-6436,97,50,none,none
test/20June_2011_Monday_heute-6510,138,0,tail_trunc,10
test/20June_2011_Monday_heute-6511,45,20,tail_trunc,30
test/20June_2011_Monday_heute-6516,120,40,head_contam,50
test/20November_2009_Friday_tagesschau-6560,97,50,none,none
test/20November_2009_Friday_tagesschau-6561,124,40,head_contam,50
test/20November_2009_Friday_tagesschau-6562,124,10,tail_contam,20
test/20November_2009_Friday_tagesschau-6565,75,50,none,none
test/20November_2009_Friday_tagesschau-6566,122,40,head_trunc,50
test/20November_2009_Friday_tagesschau-6567,47,50,none,none
test/20November_2009_Friday_tagesschau-6574,78,30,tail_trunc,40
test/20November_2009_Friday_tagesschau-6575,72,0,tail_trunc,10
test/01June_2010_Tuesday_heute-6603,50,30,head_trunc,40
test/24July_2011_Sunday_tagesschau-6630,66,20,head_contam,30
test/24July_2011_Sunday_tagesschau-6631,74,50,none,none
