compound_type,head_sev,tail_sev,bleu4,drop_from_clean,single_head_bleu4,single_tail_bleu4,predicted_additive_drop,interaction_term,rouge_l,meteor,ter,bertscore_f1
head_contam_tail_contam,10,50,14.37,14.5,25.71,15.52,16.51,-2.01,37.35,41.36,107.53,41.3
head_contam_tail_contam,20,10,20.28,8.59,22.19,25.96,9.59,-1.0,45.8,47.73,82.49,50.0
head_contam_tail_contam,20,20,18.02,10.85,22.19,22.94,12.61,-1.76,43.36,45.78,90.51,47.77
head_contam_tail_contam,20,30,16.13,12.74,22.19,20.17,15.38,-2.64,41.08,44.82,99.29,45.71
head_contam_tail_contam,20,40,14.11,14.76,22.19,17.03,18.52,-3.76,37.93,42.99,108.93,42.74
head_contam_tail_contam,20,50,12.78,16.09,22.19,15.52,20.03,-3.94,35.15,40.12,115.87,39.43
head_contam_tail_contam,30,10,18.4,10.47,19.5,25.96,12.28,-1.81,43.68,46.4,89.43,47.61
head_contam_tail_contam,30,20,16.58,12.29,19.5,22.94,15.3,-3.01,41.09,45.37,98.95,45.7
head_contam_tail_contam,30,30,15.05,13.82,19.5,20.17,18.07,-4.25,39.28,44.27,106.23,43.89
head_contam_tail_contam,30,40,13.32,15.55,19.5,17.03,21.21,-5.66,36.22,42.09,115.67,41.13
head_contam_tail_contam,30,50,11.9,16.97,19.5,15.52,22.72,-5.75,33.71,39.64,121.98,38.41
head_contam_tail_contam,40,10,16.6,12.27,17.43,25.96,14.35,-2.08,40.55,45.05,97.69,45.04
head_contam_tail_contam,40,20,14.93,13.94,17.43,22.94,17.37,-3.43,38.94,44.02,107.08,43.68
head_contam_tail_contam,40,30,13.32,15.55,17.43,20.17,20.14,-4.59,36.39,42.35,115.51,41.32
head_contam_tail_contam,40,40,11.64,17.23,17.43,17.03,23.28,-6.05,33.47,39.64,124.3,38.48
head_contam_tail_contam,40,50,10.67,18.2,17.43,15.52,24.79,-6.59,31.48,37.99,129.77,36.61
head_contam_tail_contam,50,10,15.11,13.76,16.29,25.96,15.49,-1.73,38.73,44.56,106.48,43.37
head_contam_tail_contam,50,20,13.83,15.04,16.29,22.94,18.51,-3.47,36.53,43.14,114.61,41.67
head_contam_tail_contam,50,30,12.42,16.45,16.29,20.17,21.28,-4.83,34.51,41.43,122.84,39.77
head_contam_tail_contam,50,40,11.22,17.65,16.29,17.03,24.42,-6.77,32.23,39.38,129.52,37.3
head_contam_tail_contam,50,50,9.82,19.05,16.29,15.52,25.93,-6.88,29.5,37.19,138.72,34.83
