misalignment_type,head_severity,tail_severity,bleu4,bleu4_drop,rouge_l,meteor,ter,bertscore_f1
head_contam_tail_contam,20,40,14.11,-51.1%,37.93,42.99,108.93,42.74
head_contam_tail_contam,20,50,12.78,-55.7%,35.15,40.12,115.87,39.43
head_contam_tail_contam,30,10,18.4,-36.3%,43.68,46.4,89.43,47.61
head_contam_tail_contam,30,20,16.58,-42.6%,41.09,45.37,98.95,45.7
head_contam_tail_contam,30,30,15.05,-47.9%,39.28,44.27,106.23,43.89
head_contam_tail_contam,30,40,13.32,-53.9%,36.22,42.09,115.67,41.13
head_contam_tail_contam,30,50,11.9,-58.8%,33.71,39.64,121.98,38.41
head_contam_tail_contam,40,10,16.6,-42.5%,40.55,45.05,97.69,45.04
head_contam_tail_contam,40,20,14.93,-48.3%,38.94,44.02,107.08,43.68
head_contam_tail_contam,40,30,13.32,-53.9%,36.39,42.35,115.51,41.32
head_contam_tail_contam,40,40,11.64,-59.7%,33.47,39.64,124.3,38.48
head_contam_tail_contam,40,50,10.67,-63.0%,31.48,37.99,129.77,36.61
head_contam_tail_contam,50,10,15.11,-47.7%,38.73,44.56,106.48,43.37
head_contam_tail_contam,50,20,13.83,-52.1%,36.53,43.14,114.61,41.67
head_contam_tail_contam,50,30,12.42,-57.0%,34.51,41.43,122.84,39.77
head_contam_tail_contam,50,40,11.22,-61.1%,32.23,39.38,129.52,37.3
head_contam_tail_contam,50,50,9.82,-66.0%,29.5,37.19,138.72,34.83
